사업코드,조사구분,조사지점명,주소,X좌표,Y좌표,조사차수,조사시작일,조사종료일,"토층구분,(예 : 표토, 중토, 심토 등)",토층별 심도,준설토,카드뮴,구리,비소,수은,납,6가크롬,아연,니켈,불소,유기인화합물,폴리클로리네이티드비페닐,시안,페놀,벤젠,톨루엔,에틸벤젠,크실렌,석유계총탄화수소,트리클로로에틸렌,테트라클로로에틸렌,벤조(a)피렌,생성일,수정일,사용여부
ME2009E003,IV15,공장 및 공업지역(함양군),함양군수동면화산리1019-,,,0차,2006,2006,표토,,,0.027,1.912,0.223,0.062,1.373,,25.527,1.272,244.68,,,,,,,,,,,,,,,Y
ME2009E003,IV15,공장 및 공업지역(합천군),함양군수동면원평리513,,,0차,2006,2006,표토,,,0.054,1.094,0.195,0.014,0.814,,38.479,2.163,165.96,,,,,,,,,,,,,,,Y
ME2015E002,IV15,41610G03079914001,경기광주시광주대로171,,,1,,,표토,,,2.44,23.7,8.21,0.22,22.4,-88888,94.7,17.5,-88888,,,-88888,,,,,,-88888,,,,,,Y
ME2015E002,IV15,41610G03079914002,경기광주시광주대로171,,,1,,,표토,,,,,,,,,,,,,,,,,,,,241,,,,,,Y
ME2015E002,IV15,41610G03079914003,경기광주시광주대로171,,,1,,,표토,,,2.46,34.3,3.49,0,15.6,0,81.6,35.3,-88888,,,-88888,,,,,,6181,,,,,,Y
ME2015E002,IV15,41610G03079914004,경기광주시광주대로171,,,1,,,표토,,,,,,,,,,,,,,,,,,,,5558,,,,,,Y
ME2015E002,IV15,41610G03079914005,경기광주시광주대로171,,,1,,,표토,,,2.75,28.2,5.29,0.06,19.6,0,91.6,29.1,-88888,,,0,,,,,,-88888,,,,,,Y
ME2015E002,IV15,41610G03169914001,경기광주시삼지곡길95,,,1,,,표토,,,3.33,19.4,5.48,0.06,14.3,-88888,98.2,12,-88888,,,-88888,,,,,,-88888,,,,,,Y
ME2015E002,IV15,41610G03169914002,경기광주시삼지곡길95,,,1,,,표토,,,,,,,,,,,,,,,,,,,,587,,,,,,Y
ME2015E002,IV15,41610G03169914003,경기광주시삼지곡길95,,,1,,,표토,,,2.81,22.1,7.24,0,19.6,0,111.1,14.6,-88888,,,0,,,,,,256,,,,,,Y
ME2015E002,IV15,41610G03169914004,경기광주시삼지곡길95,,,1,,,표토,,,2.29,14.9,9.36,0,15.6,0,95.1,13.1,-88888,,,0,,,,,,347,,,,,,Y
ME2015E002,IV15,41610G03079914006,경기광주시광주대로171,,,0차,,,표토,,,2.75,31,6.76,0.05,17.2,-88888,196.7,26.9,-88888,,,0,,,,,,-88888,,,,,,Y
ME2015E002,IV15,41610G03079914007,경기광주시광주대로171,,,0차,,,표토,,,,,,,,,,,,,,,,,,,,2739,,,,,,Y
ME2015E002,IV15,41610G03079914008,경기광주시광주대로171,,,0차,,,표토,,,2.45,24.3,5.35,0.05,18.1,0,84.6,30.2,-88888,,,0,,,,,,459,,,,,,Y
DG2007B002,IV03,TC03,대구시달성군현풍면상리5391,,,0차,2005,2005,표토,,,0.08,4.255,0.061,0.00092,3.1,,53.42,4,-88888,,,-88888,,,,,,,,,,,,Y
